common_name,breeding_verified,breeding_indirect,transient,winter_verified,winter_present,aab_url,order_desc,order,family,genus,species,similar_species
Black-billed Magpie,true,false,false,true,false,http://www.allaboutbirds.org/guide/blackbilled_magpie/id,Perching Birds,PASSERIFORMES,CORVIDAE,Pica,hudsonia,Yellow-billed Magpie
American Crow,true,false,false,true,false,http://www.allaboutbirds.org/guide/american_crow/id,Perching Birds,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,"Common Raven, Fish Crow, Northwestern Crow, Common Grackle, Great-tailed Grackle, Boat-tailed Grackle, Brewer's Blackbird"
Common Raven,true,false,false,true,false,http://www.allaboutbirds.org/guide/common_raven/id,Perching Birds,PASSERIFORMES,CORVIDAE,Corvus,corax,"American Crow, Common Grackle, Great-tailed Grackle, Fish Crow"
Horned Lark,true,false,false,true,false,http://www.allaboutbirds.org/guide/horned_lark/id,Perching Birds,PASSERIFORMES,ALAUDIDAE,Eremophila,alpestris,"American Pipit, Smith's Longspur"
Purple Martin,true,false,false,false,false,http://www.allaboutbirds.org/guide/purple_martin/id,Perching Birds,PASSERIFORMES,HIRUNDINIDAE,Progne,subis,"Tree Swallow, Barn Swallow, European Starling"
Tree Swallow,true,false,false,false,false,http://www.allaboutbirds.org/guide/tree_swallow/id,Perching Birds,PASSERIFORMES,HIRUNDINIDAE,Tachycineta,bicolor,"Bank Swallow, Northern Rough-winged Swallow, Violet-green Swallow"
Violet-green Swallow,true,false,false,false,false,http://www.allaboutbirds.org/guide/violetgreen_swallow/id,Perching Birds,PASSERIFORMES,HIRUNDINIDAE,Tachycineta,thalassina,Tree Swallow
Northern Rough-winged Swallow,true,false,false,false,false,http://www.allaboutbirds.org/guide/northern_roughwinged_swallow/id,Perching Birds,PASSERIFORMES,HIRUNDINIDAE,Stelgidopteryx,serripennis,""
Bank Swallow,true,false,false,false,false,http://www.allaboutbirds.org/guide/bank_swallow/id,Perching Birds,PASSERIFORMES,HIRUNDINIDAE,Riparia,riparia,"Tree Swallow, Northern Rough-winged Swallow"
Cliff Swallow,true,false,false,false,false,http://www.allaboutbirds.org/guide/cliff_swallow/id,Perching Birds,PASSERIFORMES,HIRUNDINIDAE,Petrochelidon,pyrrhonota,"Barn Swallow, Cave Swallow"
Barn Swallow,true,false,false,false,false,http://www.allaboutbirds.org/guide/barn_swallow/id,Perching Birds,PASSERIFORMES,HIRUNDINIDAE,Hirundo,rustica,"Cliff Swallow, Tree Swallow"
Black-capped Chickadee,true,false,false,true,false,http://www.allaboutbirds.org/guide/blackcapped_chickadee/id,Perching Birds,PASSERIFORMES,PARIDAE,Poecile,atricapillus,"Carolina Chickadee, Mountain Chickadee, Chestnut-backed Chickadee, Boreal Chickadee, White-breasted Nuthatch"
Mountain Chickadee,true,false,false,true,false,http://www.allaboutbirds.org/guide/mountain_chickadee/id,Perching Birds,PASSERIFORMES,PARIDAE,Poecile,gambeli,"Black-capped Chickadee, Boreal Chickadee, Bridled Titmouse, Bushtit, Chestnut-backed Chickadee"
Chestnut-sided Chickadee,true,false,false,true,false,http://www.allaboutbirds.org/guide/chestnutsided_chickadee/id,,,,,,""
Boreal Chickadee,true,false,false,true,false,http://www.allaboutbirds.org/guide/boreal_chickadee/id,Perching Birds,PASSERIFORMES,PARIDAE,Poecile,hudsonicus,""
Red-breasted Nuthatch,true,false,false,true,false,http://www.allaboutbirds.org/guide/redbreasted_nuthatch/id,Perching Birds,PASSERIFORMES,SITTIDAE,Sitta,canadensis,"Black-and-white Warbler, White-breasted Nuthatch, Brown Creeper, Brown-headed Nuthatch, Pygmy Nuthatch"
