common_name,winter_verified,winter_unverified,breeding_verified,breeding_indirect,transient,slug,aab_url,elcode,field_guide_url,order_desc,order,family_desc,family,genus,species,similar_species,num_observations,accidental,major_group
Sandhill Crane,X,"",X,"","",sandhill_crane,http://www.allaboutbirds.org/guide/sandhill_crane/id,ABNMK01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNMK01010,Cranes and Rails,Gruiformes,Cranes,Gruidae,Grus,Canadensis,"Great Blue Heron, Whooping Crane",2870,"",Water birds
Yellow Rail,"","","",X,"",yellow_rail,http://www.allaboutbirds.org/guide/yellow_rail/id,ABNME01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNME01010,Cranes and Rails,Gruiformes,Rails,Rallidae,Coturnicops,Noveboracensis,"",18,"",Water birds
American Coot,X,"",X,"","",american_coot,http://www.allaboutbirds.org/guide/american_coot/id,ABNME14020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNME14020,Cranes and Rails,Gruiformes,Rails,Rallidae,Fulica,Americana,"Common Gallinule, Pied-billed Grebe",3815,"",Water birds
Common Gallinule,"","","","",X,common_gallinule,http://www.allaboutbirds.org/guide/common_gallinule/id,ABNME13010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNME13010,Cranes and Rails,Gruiformes,Rails,Rallidae,Gallinula,Galeata,American Coot,1,X,Water birds
Sora,"",X,X,"","",sora,http://www.allaboutbirds.org/guide/sora/id,ABNME08020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNME08020,Cranes and Rails,Gruiformes,Rails,Rallidae,Porzana,Carolina,"",1268,"",Water birds
Virginia Rail,X,"",X,"","",virginia_rail,http://www.allaboutbirds.org/guide/virginia_rail/id,ABNME05030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNME05030,Cranes and Rails,Gruiformes,Rails,Rallidae,Rallus,Limicola,"",328,"",Water birds
Black Tern,"","",X,"","",black_tern,http://www.allaboutbirds.org/guide/black_tern/id,ABNNM10020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM10020,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Chlidonias,Niger,"",655,"",Water birds
Bonaparte's Gull,"","","","",X,bonapartes_gull,http://www.allaboutbirds.org/guide/bonapartes_gull/id,ABNNM03050,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03050,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Chroicocephalus,Philadelphia,"",260,"",Water birds
Little Gull,"","","","",X,little_gull,http://www.allaboutbirds.org/guide/little_gull/id,ABNNM03030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03030,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Hydrocoloeus,Minutus,"",3,X,Water birds
Caspian Tern,"","",X,"","",caspian_tern,http://www.allaboutbirds.org/guide/caspian_tern/id,ABNNM08020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM08020,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Hydroprogne,Caspia,"",354,"",Water birds
Herring Gull,X,"",X,"","",herring_gull,http://www.allaboutbirds.org/guide/herring_gull/id,ABNNM03120,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03120,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Larus,Argentatus,"Ring-billed Gull, California Gull",297,"",Water birds
California Gull,X,"",X,"","",california_gull,http://www.allaboutbirds.org/guide/california_gull/id,ABNNM03110,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03110,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Larus,Californicus,"Herring Gull, Ring-billed Gull, Mew Gull, Thayer's Gull",1718,"",Water birds
Mew Gull,X,"","","",X,mew_gull,http://www.allaboutbirds.org/guide/mew_gull/id,ABNNM03090,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03090,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Larus,Canus,"",49,"",Water birds
Ring-billed Gull,X,"",X,"","",ring-billed_gull,http://www.allaboutbirds.org/guide/ring-billed_gull/id,ABNNM03100,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03100,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Larus,Delawarensis,"Herring Gull, California Gull, Mew Gull",3136,"",Water birds
Lesser Black-backed Gull,"","","","",X,lesser_black-backed_gull,http://www.allaboutbirds.org/guide/lesser_black-backed_gull/id,ABNNM03150,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03150,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Larus,Fuscus,"",15,X,Water birds
Glaucous-winged Gull,X,"","","",X,glaucous-winged_gull,http://www.allaboutbirds.org/guide/glaucous-winged_gull/id,ABNNM03190,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03190,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Larus,Glaucescens,"",22,X,Water birds
Iceland Gull,X,"","","",X,iceland_gull,http://www.allaboutbirds.org/guide/iceland_gull/id,ABNNM03140,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03140,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Larus,Glaucoides,"",8,X,Water birds
Glaucous Gull,X,"","","",X,glaucous_gull,http://www.allaboutbirds.org/guide/glaucous_gull/id,ABNNM03200,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03200,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Larus,Hyperboreus,"",104,"",Water birds
Great Black-backed Gull,"",X,"","",X,great_black-backed_gull,http://www.allaboutbirds.org/guide/great_black-backed_gull/id,ABNNM03210,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNNM03210,"Plovers, Sandpipers, and Allies",Charadriiformes,Gulls / Terns,Laridae,Larus,Marinus,Lesser Black-backed Gull,3,X,Water birds
